iter	Passed	Remaining
455	948	1131
456	951	1130
457	958	1134
458	961	1132
459	963	1130
460	966	1130
461	970	1129
462	971	1127
463	973	1124
464	977	1124
465	979	1122
466	981	1120
467	989	1125
468	991	1122
469	994	1121
470	997	1119
471	1002	1121
472	1005	1120
473	1006	1117
474	1008	1114
475	1009	1111
476	1011	1108
477	1017	1110
478	1020	1110
479	1024	1109
480	1031	1112
481	1034	1112
482	1036	1109
483	1038	1107
484	1041	1106
485	1053	1113
486	1055	1112
487	1064	1116
488	1071	1119
489	1073	1116
490	1081	1121
491	1085	1120
492	1089	1120
493	1094	1121
494	1097	1120
495	1100	1117
496	1101	1115
497	1111	1120
498	1116	1121
499	1118	1118
500	1125	1121
501	1129	1120
502	1132	1119
503	1138	1120
504	1141	1119
505	1145	1117
506	1147	1115
507	1149	1113
508	1154	1113
509	1158	1113
510	1162	1112
511	1165	1111
512	1171	1112
513	1174	1110
514	1177	1108
515	1181	1108
516	1186	1108
517	1189	1106
518	1191	1104
519	1192	1101
520	1197	1101
521	1200	1099
522	1202	1096
523	1204	1094
524	1206	1091
525	1211	1091
526	1216	1091
527	1219	1089
528	1221	1087
529	1226	1087
530	1231	1087
531	1234	1085
532	1236	1083
533	1238	1081
534	1242	1079
535	1245	1078
536	1247	1075
537	1249	1073
538	1251	1070
539	1253	1067
540	1257	1067
541	1260	1065
542	1263	1063
543	1265	1061
544	1271	1061
545	1273	1058
546	1275	1055
547	1276	1053
548	1279	1050
549	1284	1050
550	1287	1049
551	1289	1046
552	1291	1044
553	1293	1041
554	1294	1038
555	1298	1037
556	1301	1034
557	1303	1032
558	1304	1029
559	1306	1026
560	1307	1023
561	1311	1022
562	1313	1019
563	1315	1017
564	1317	1014
565	1319	1011
566	1321	1008
567	1322	1005
568	1327	1005
569	1330	1004
570	1333	1001
571	1335	999
572	1337	996
573	1341	995
574	1344	993
575	1346	990
576	1347	988
577	1349	985
578	1350	982
579	1353	980
580	1356	978
581	1358	975
582	1360	972
583	1362	970
584	1363	967
585	1365	964
586	1370	964
587	1373	962
588	1375	959
589	1376	956
590	1378	953
591	1379	950
592	1381	948
593	1385	947
594	1387	944
595	1389	941
596	1390	938
597	1392	935
598	1393	932
599	1394	929
600	1397	927
601	1400	925
602	1402	923
603	1404	920
604	1405	917
605	1406	914
606	1408	911
607	1409	908
608	1416	909
609	1419	907
610	1421	904
611	1423	902
612	1427	901
613	1430	899
614	1432	896
615	1434	893
616	1436	891
617	1437	888
618	1438	885
619	1441	883
620	1444	881
621	1445	878
622	1447	875
623	1448	872
624	1450	870
625	1452	867
626	1453	864
627	1455	862
628	1459	861
629	1461	858
630	1462	855
631	1463	852
632	1465	849
633	1466	846
634	1467	843
635	1470	841
636	1473	839
637	1475	837
638	1477	834
639	1478	831
640	1479	828
641	1480	825
642	1482	822
643	1486	821
644	1487	818
645	1489	816
646	1490	813
647	1492	810
648	1493	807
649	1495	805
650	1496	802
651	1498	800
652	1502	798
653	1504	795
654	1506	793
655	1508	790
656	1509	788
657	1511	785
658	1515	784
659	1517	781
660	1519	779
661	1521	776
662	1522	774
663	1524	771
664	1526	768
665	1529	767
666	1531	764
667	1532	761
668	1534	759
669	1535	756
670	1537	753
671	1539	751
672	1540	748
673	1544	746
674	1547	745
675	1549	742
676	1551	740
677	1553	737
678	1554	734
679	1555	732
680	1559	730
681	1560	727
682	1562	725
683	1563	722
684	1565	719
685	1566	716
686	1567	714
687	1568	711
688	1570	708
689	1572	706
690	1574	704
691	1576	701
692	1577	698
693	1578	696
694	1580	693
695	1581	690
696	1583	688
697	1584	685
698	1585	682
699	1588	680
700	1590	678
701	1592	676
702	1594	673
703	1595	670
704	1597	668
705	1598	665
706	1599	662
707	1601	660
708	1602	657
709	1604	655
710	1607	653
711	1608	650
712	1609	647
713	1610	645
714	1612	642
715	1613	639
716	1614	637
717	1617	635
718	1620	633
719	1621	630
720	1622	627
721	1623	625
722	1625	622
723	1626	619
724	1627	617
725	1628	614
726	1629	611
727	1632	609
728	1635	607
729	1636	605
730	1638	602
731	1639	600
732	1640	597
733	1642	595
734	1643	592
735	1646	590
736	1649	588
737	1651	586
738	1652	583
739	1654	581
740	1655	578
741	1656	576
742	1658	573
743	1660	571
744	1662	569
745	1664	566
746	1666	564
747	1667	561
748	1668	559
749	1670	556
750	1671	554
751	1672	551
752	1674	549
753	1677	547
754	1679	544
755	1681	542
756	1682	540
757	1683	537
758	1685	535
759	1686	532
760	1687	530
761	1689	527
762	1691	525
763	1692	522
764	1694	520
765	1695	518
766	1696	515
767	1697	512
768	1699	510
769	1700	507
770	1701	505
771	1702	502
772	1704	500
